Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current education level,Fluent languages,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64a1bf570989486f2e06128f,615d3a160645989797ca0779,APPROVED,2023-07-02T18:19:13.236000Z,2023-07-02T18:33:12.587000Z,2023-07-02T18:47:29.652000,2023-07-02T18:33:13.124163Z,840,CACDZOAC,194,Undergraduate degree (BA/BSc/other),English,"Engineering, Mathematics, Materials Science, Computer Science",24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64a1bf9cfebe12d05e7bd5fd,613a98d6fcbac0ce210ec3e6,APPROVED,2023-07-02T18:19:08.749000Z,2023-07-02T18:29:25.172000Z,2023-07-02T18:47:29.801000,2023-07-02T18:29:28.509976Z,617,CACDZOAC,260,Undergraduate degree (BA/BSc/other),"Spanish, English",Engineering,22,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
64a1bfee6b6dc8e30b53424e,6113f57538a636ee9d6a439b,APPROVED,2023-07-02T18:20:39.261000Z,2023-07-02T18:30:47.348000Z,2023-07-02T18:47:30.008000,2023-07-02T18:30:47.955991Z,609,CACDZOAC,50,Undergraduate degree (BA/BSc/other),"English, Finnish",Computer Science,24,Male,White,Finland,Finland,Finland,Finnish,Yes,Other
64a1c1d66969f6ef8628e408,5e2f53d9e0c1bf509bc6d305,APPROVED,2023-07-02T18:28:40.551000Z,2023-07-02T18:53:11.683000Z,2023-07-02T18:57:18.626000,2023-07-02T18:53:12.746804Z,1472,CACDZOAC,323,Undergraduate degree (BA/BSc/other),"Greek, English",Computer Science,23,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
64a1cad1837997aa30c51852,5aeb21ce84ae6500015c9a0e,APPROVED,2023-07-02T19:06:57.187000Z,2023-07-02T19:15:55.060000Z,2023-07-03T07:05:59.535000,2023-07-02T19:15:55.798467Z,538,CACDZOAC,314,Undergraduate degree (BA/BSc/other),"Dutch, English","Philosophy, Computer Science",23,Male,Mixed,Netherlands,Netherlands,Netherlands,Dutch,Yes,Part-Time
64a1cced20e86896ceb892c5,5f2ed914a87abd287ed66ddf,APPROVED,2023-07-02T19:16:11.175000Z,2023-07-02T19:34:57.462000Z,2023-07-03T07:06:29.540000,2023-07-02T19:34:58.150862Z,1127,CACDZOAC,222,Undergraduate degree (BA/BSc/other),"English, Spanish",Engineering,23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
64a3d63f63ce7157ad17cca7,610c6de367cd0a2a9d7da0b4,APPROVED,2023-07-04T08:20:46.646000Z,2023-07-04T08:35:47.578000Z,2023-07-04T08:40:51.065000,2023-07-04T08:35:48.623006Z,901,CACDZOAC,273,Undergraduate degree (BA/BSc/other),English,Engineering,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64a3d78843929c9d39462b19,5e6f867efb136c55068af035,APPROVED,2023-07-04T08:25:47.651000Z,2023-07-04T08:34:09.492000Z,2023-07-04T08:40:52.353000,2023-07-04T08:34:09.954417Z,502,CACDZOAC,417,Undergraduate degree (BA/BSc/other),"English, Italian, Spanish",Mathematics,23,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
64a3d7916fb93c4e4e31625f,60bf62f6f8202f06afc581b2,APPROVED,2023-07-04T08:25:57.347000Z,2023-07-04T08:33:49.199000Z,2023-07-04T08:40:58.503000,2023-07-04T08:33:49.694590Z,472,CACDZOAC,107,Undergraduate degree (BA/BSc/other),"English, Polish",Engineering,24,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
64a3d7a8463793ac345ea624,6152c05b866a2622004014a5,APPROVED,2023-07-04T08:26:16.200000Z,2023-07-04T08:39:42.263000Z,2023-07-04T08:41:07.644000,2023-07-04T08:39:42.739400Z,807,CACDZOAC,93,Undergraduate degree (BA/BSc/other),English,"Accounting, Business, Economics, Finance, Mathematics",20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64a3d7c6faa9397d9829cd41,5dcc00090feb4189cf1ff9c1,APPROVED,2023-07-04T08:27:02.332000Z,2023-07-04T09:01:36.429000Z,2023-07-04T09:02:53.851000,2023-07-04T09:01:38.314248Z,2075,CACDZOAC,273,Undergraduate degree (BA/BSc/other),English,Engineering,22,Male,Black,Nigeria,Poland,Nigeria,English,No,Full-Time
64a3d7ce845731fe40a4f6a9,606eeec7742566e9d46a52c8,APPROVED,2023-07-04T08:26:54.148000Z,2023-07-04T08:33:32.672000Z,2023-07-04T08:41:11.431000,2023-07-04T08:33:33.200963Z,399,CACDZOAC,208,Undergraduate degree (BA/BSc/other),"Afrikaans, English, Russian",Engineering,21,Male,White,Ukraine,South Africa,Ukraine,Russian,Yes,Part-Time
64a7d1a03d4530d1cf5a3e83,611e7acaeddfe1921fbeb43c,APPROVED,2023-07-07T08:50:51.638000Z,2023-07-07T09:11:01.226000Z,2023-07-07T09:21:02.771000,2023-07-07T09:11:01.766528Z,1210,CACDZOAC,98,Undergraduate degree (BA/BSc/other),English,"Mathematics, English Language, Education",26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64a7d2c7a2e582f68076b925,60f70e1ede811ff74921715a,APPROVED,2023-07-07T08:54:35.440000Z,2023-07-07T09:14:14.477000Z,2023-07-07T09:21:04.373000,2023-07-07T09:14:15.165150Z,1180,CACDZOAC,156,Undergraduate degree (BA/BSc/other),"Afrikaans, English","Biological Sciences, Biology, Chemistry, Health and Medicine, Physics",21,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Other
